,sgd_lr,sgdhd_lr,sgdn_lr,sgdnhd_lr,adam_lr,adamhd_lr
38,0.0001,0.6247620582580566,0.0001,,0.0001,1.1421806812286377
39,0.0001,0.6235290169715881,0.0001,,0.0001,1.1420842409133911
40,0.0001,0.6222076416015625,0.0001,,0.0001,1.1419777870178223
41,0.0001,0.6210720539093018,0.0001,,0.0001,1.1418788433074951
42,0.0001,0.6199619174003601,0.0001,,0.0001,1.1417597532272339
43,0.0001,0.6187984347343445,0.0001,,0.0001,1.141658902168274
44,0.0001,0.6177181601524353,0.0001,,0.0001,1.14155912399292
45,0.0001,0.6157495379447937,0.0001,,0.0001,1.1414682865142822
46,0.0001,0.6128559708595276,0.0001,,0.0001,1.1413652896881104
47,0.0001,0.6105889081954956,0.0001,,0.0001,1.1412802934646606
48,0.0001,0.6087514758110046,0.0001,,0.0001,1.141177773475647
49,0.0001,0.6069670915603638,0.0001,,0.0001,1.1410692930221558
50,0.0001,0.605389416217804,0.0001,,0.0001,1.1409677267074585
51,0.0001,0.6039852499961853,0.0001,,0.0001,1.1408623456954956
52,0.0001,0.6026676297187805,0.0001,,0.0001,1.1407607793807983
53,0.0001,0.6013562083244324,0.0001,,0.0001,1.1406704187393188
54,0.0001,0.6000691056251526,0.0001,,0.0001,1.1405836343765259
55,0.0001,0.5989478230476379,0.0001,,0.0001,1.1404802799224854
56,0.0001,0.5977696180343628,0.0001,,0.0001,1.1403639316558838
57,0.0001,0.5965619683265686,0.0001,,0.0001,1.140260100364685
58,0.0001,0.5953724980354309,0.0001,,0.0001,1.1401517391204834
59,0.0001,0.5943121314048767,0.0001,,0.0001,1.1400595903396606
60,0.0001,0.5932435393333435,0.0001,,0.0001,1.1399496793746948
61,0.0001,0.5921695232391357,0.0001,,0.0001,1.1398305892944336
62,0.0001,0.5911738276481628,0.0001,,0.0001,1.1397289037704468
63,0.0001,0.5900158882141113,0.0001,,0.0001,1.1396080255508423
64,0.0001,0.5888496041297913,0.0001,,0.0001,1.1394968032836914
65,0.0001,0.5878196954727173,0.0001,,0.0001,1.139371395111084
66,0.0001,0.5866524577140808,0.0001,,0.0001,1.1392709016799927
67,0.0001,0.5853989720344543,0.0001,,0.0001,1.1391710042953491
68,0.0001,0.5841619968414307,0.0001,,0.0001,1.139072299003601
69,0.0001,0.5830430388450623,0.0001,,0.0001,1.1389877796173096
70,0.0001,0.5819725394248962,0.0001,,0.0001,1.138883113861084
71,0.0001,0.580841064453125,0.0001,,0.0001,1.1387872695922852
72,0.0001,0.5797126293182373,0.0001,,0.0001,1.1386791467666626
73,0.0001,0.5786203742027283,0.0001,,0.0001,1.1385761499404907
74,0.0001,0.5774301886558533,0.0001,,0.0001,1.1385018825531006
75,0.0001,0.5763075351715088,0.0001,,0.0001,1.1384018659591675
76,0.0001,0.5750044584274292,0.0001,,0.0001,1.138305425643921
77,0.0001,0.5738155841827393,0.0001,,0.0001,1.1382097005844116
78,0.0001,0.5726141929626465,0.0001,,0.0001,1.1381028890609741
79,0.0001,0.5715267658233643,0.0001,,0.0001,1.1379858255386353
80,0.0001,0.5703182220458984,0.0001,,0.0001,1.1378741264343262
81,0.0001,0.5691606402397156,0.0001,,0.0001,1.1377781629562378
82,0.0001,0.5680685639381409,0.0001,,0.0001,1.1376569271087646
83,0.0001,0.5667213797569275,0.0001,,0.0001,1.137573480606079
84,0.0001,0.5656114816665649,0.0001,,0.0001,1.1374824047088623
85,0.0001,0.5643718838691711,0.0001,,0.0001,1.137373924255371
86,0.0001,0.5631314516067505,0.0001,,0.0001,1.137280821800232
87,0.0001,0.5619557499885559,0.0001,,0.0001,1.1371819972991943
88,0.0001,0.560688853263855,0.0001,,0.0001,1.1370643377304077
89,0.0001,0.5593569874763489,0.0001,,0.0001,1.1369749307632446
90,0.0001,0.557982861995697,0.0001,,0.0001,1.1368718147277832
91,0.0001,0.5567062497138977,0.0001,,0.0001,1.1367743015289307
92,0.0001,0.5553460717201233,0.0001,,0.0001,1.136671781539917
93,0.0001,0.5539377331733704,0.0001,,0.0001,1.1365702152252197
94,0.0001,0.5525330305099487,0.0001,,0.0001,1.1364710330963135
95,0.0001,0.5511680841445923,0.0001,,0.0001,1.1363542079925537
96,0.0001,0.54989093542099,0.0001,,0.0001,1.1362560987472534
97,0.0001,0.5485140681266785,0.0001,,0.0001,1.1361427307128906
98,0.0001,0.5471234321594238,0.0001,,0.0001,1.136037826538086
99,0.0001,0.5457368493080139,0.0001,,0.0001,1.1359272003173828
100,0.0001,0.5442713499069214,0.0001,,0.0001,1.135838270187378
