,sgd_lr,sgdhd_lr,sgdn_lr,sgdnhd_lr,adam_lr,adamhd_lr
78,0.0001,12.6959867477417,0.0001,,0.0001,0.25618976354599
79,0.0001,12.69550609588623,0.0001,,0.0001,0.2561527490615845
80,0.0001,12.69500732421875,0.0001,,0.0001,0.25612419843673706
81,0.0001,12.694515228271484,0.0001,,0.0001,0.2561105787754059
82,0.0001,12.694036483764648,0.0001,,0.0001,0.25607120990753174
83,0.0001,12.693507194519043,0.0001,,0.0001,0.2560468912124634
84,0.0001,12.693010330200195,0.0001,,0.0001,0.25602567195892334
85,0.0001,12.692517280578613,0.0001,,0.0001,0.25599485635757446
86,0.0001,12.692005157470703,0.0001,,0.0001,0.2559555768966675
87,0.0001,12.691490173339844,0.0001,,0.0001,0.25591927766799927
88,0.0001,12.691000938415527,0.0001,,0.0001,0.25589627027511597
89,0.0001,12.690485954284668,0.0001,,0.0001,0.25586768984794617
